date,miles
2023-01-09,7.8
2023-01-10,9.8
2023-01-11,11.0
2023-01-12,7.8
2023-01-13,9.2
2023-01-15,5.3
2023-01-24,9.4
2023-01-25,6.8
2023-01-26,8.6
2023-01-27,9.2
2023-01-30,9.8
2023-01-31,11.6
2023-02-01,12.6
2023-02-02,9.2
2023-02-03,11.0
2023-02-06,11.6
2023-02-07,8.4
2023-02-08,6.0
2023-02-09,7.6
2023-02-10,4.4
2023-02-13,8.6
2023-02-14,9.4
2023-02-15,11.0
2023-02-16,10.8
2023-02-17,12.6
2023-02-21,12.1
2023-02-22,15.0
2023-02-23,12.2
2023-02-24,14.6
2023-02-27,13.0
2023-02-28,15.0
2023-03-01,11.6
2023-03-02,11.6
2023-03-03,11.0
2023-03-06,12.4
2023-03-10,8.6
2023-03-13,11.2
2023-03-14,11.4
2023-03-15,11.2
2023-03-16,11.4
2023-03-17,12.6
2023-03-20,12.2
2023-03-21,15.6
2023-03-22,11.6
2023-03-23,12.6
2023-03-24,10.2
2023-04-05,10.4
2023-04-06,11.6
2023-04-10,11.8
2023-04-11,11.2
2023-04-24,7.6
2023-04-25,6.8
2023-04-26,8.0
2023-04-27,6.4
2023-04-28,8.0
2023-05-01,11.6
2023-05-02,9.8
2023-05-03,7.4
2023-05-04,7.2
2023-05-05,8.0
2023-05-08,10.0
2023-05-09,9.0
2023-05-10,10.8
2023-05-11,7.5
2023-05-12,10.4
2023-05-15,8.0
2023-05-16,6.0
2023-05-17,15.4
2023-05-18,8.4
2023-05-22,7.6
2023-05-24,3.0
2023-05-30,5.0
2023-05-31,7.8
2023-06-05,10.4
2023-06-06,4.6
2023-06-07,7.2
2023-06-08,6.4
2023-06-12,4.6
2023-06-13,6.0
2023-06-14,6.2
2023-06-15,6.8
2023-06-16,8.4
2023-06-20,11.8
